id,title,solves,attempts,solve_ratio
1068,Weird Algorithm,140495,147155,0.9547415989942577
1083,Missing Number,120930,126923,0.9527823956256943
1069,Repetitions,105583,109979,0.960028732758072
1094,Increasing Array,99097,102789,0.964081759721371
1070,Permutations,87147,89882,0.9695712155937785
1071,Number Spiral,61593,67172,0.9169445602334306
1072,Two Knights,46979,48502,0.9685992330213187
1092,Two Sets,51068,55077,0.9272109955153693
1617,Bit Strings,58611,61893,0.9469730017934177
1618,Trailing Zeros,54678,58218,0.9391940636916417
1754,Coin Piles,48446,53091,0.9125087114576859
1755,Palindrome Reorder,44883,47427,0.9463596685432348
2205,Gray Code,29740,33533,0.8868875436137537
2165,Tower of Hanoi,27497,28604,0.9612991190043351
1622,Creating Strings,38030,39043,0.974054247880542
1623,Apple Division,37895,42950,0.8823050058207218
1624,Chessboard and Queens,22820,23249,0.9815475934448793
3399,Raab Game I,2392,2740,0.872992700729927
3419,Mex Grid Construction,2301,2468,0.9323338735818476
3217,Knight Moves Grid,2352,2394,0.9824561403508771
3311,Grid Coloring I,1902,1969,0.9659725749111224
2431,Digit Queries,16116,18921,0.8517520215633423
1743,String Reorder,1995,2313,0.8625162127107653
1625,Grid Path Description,9054,11795,0.7676133955065706
1621,Distinct Numbers,68365,74070,0.9229782638045092
1084,Apartments,50636,56465,0.8967679093243602
1090,Ferris Wheel,48586,52624,0.9232669504408635
1091,Concert Tickets,39131,45767,0.8550046977079555
1619,Restaurant Customers,39877,43130,0.9245768606538373
1629,Movie Festival,38214,40545,0.9425083240843507
1640,Sum of Two Values,44618,50158,0.8895490250807448
1643,Maximum Subarray Sum,43340,45328,0.9561418990469467
1074,Stick Lengths,38709,40574,0.954034603440627
2183,Missing Coin Sum,28900,29988,0.963718820861678
2216,Collecting Numbers,29617,31791,0.9316158661256331
2217,Collecting Numbers II,12164,15685,0.7755180108383806
1141,Playlist,29674,34063,0.8711505152217949
1073,Towers,30112,32330,0.9313949891741417
1163,Traffic Lights,23258,26152,0.8893392474762924
3420,Distinct Values Subarrays,3560,3741,0.9516172146484897
3421,Distinct Values Subsequences,2484,2777,0.8944904573280519
2162,Josephus Problem I,17592,19506,0.9018763457397724
2163,Josephus Problem II,9516,13117,0.7254707631318137
2168,Nested Ranges Check,10023,11608,0.8634562370778773
2169,Nested Ranges Count,6828,8081,0.8449449325578517
1164,Room Allocation,17506,20190,0.8670629024269441
1620,Factory Machines,24691,27034,0.9133313605089887
1630,Tasks and Deadlines,20083,20524,0.9785129604365621
1631,Reading Books,16261,17431,0.9328782054959555
1641,Sum of Three Values,23832,26499,0.8993546926299105
1642,Sum of Four Values,14804,16604,0.8915923873765358
1645,Nearest Smaller Values,19849,20540,0.9663583252190847
1660,Subarray Sums I,26127,27969,0.9341413708033894
1661,Subarray Sums II,23548,28197,0.8351243040039721
1662,Subarray Divisibility,21735,23794,0.9134655795578718
2428,Distinct Values Subarrays II,12744,14179,0.8987939911136187
1085,Array Division,20544,21662,0.948388883759579
1632,Movie Festival II,10893,13221,0.8239164964828681
1644,Maximum Subarray Sum II,10061,12084,0.8325885468387951
1633,Dice Combinations,71315,75557,0.9438569556758474
1634,Minimizing Coins,61613,66292,0.9294183310203343
1635,Coin Combinations I,56294,61051,0.9220815383859396
1636,Coin Combinations II,47594,54046,0.8806202124116493
